725318	Zhŭltusha	Zhultusha	Saru Kus,Sarŭ Kŭs,Shaltuscha,Shăltuscha,Zhultica,Zhultusha,Zhŭltusha,Жълтица	41.53333	25.05	P	PPL	BG	BG	44	KRZ02	KRZ02-10		0		572	Europe/Sofia	2011-05-08
725319	Zhŭltopop	Zhultopop	Chervenipopovi,Chervenu Popovtsu,Chervenŭ Popovtsŭ,Zhultopop,Zhŭltopop,Жълтопоп	42.66667	25.71667	P	PPL	BG	BG	59	SZR37			0		516	Europe/Sofia	2011-05-08
725320	Zhŭlt Kamŭk	Zhult Kamuk	Sara Tash,Saru Tash,Sarŭ Tash,Zhult Kamuk,Zhŭlt Kamŭk,Жълт Камък	41.93333	25.13333	P	PPL	BG	BG	51	PDV01			0		326	Europe/Sofia	2011-05-08
725321	Zhŭlti Rid	Zhulti Rid	Saru Yar,Sarŭ Yar,Shalti Rid,Shălti Rid,Zhulti Rid,Zhŭlti Rid,Жълти Рид	41.46667	25.33333	P	PPL	BG	BG	44	KRZ08	KRZ08-05		0		334	Europe/Sofia	2011-05-08
725322	Zhŭlti Khan	Zhulti Khan	Saraylar,Sarkhanlar,Shalti-Chan,Shălti-Chan,Zhulti Khan,Zhŭlti Khan,Жълти Хан	42.76667	27.1	P	PPLX	BG	BG	39				0		575	Europe/Sofia	2011-05-08
725323	Zhŭltika	Zhultika	Zhultika,Zhŭltika,Жълтика	41.51667	25.18333	P	PPL	BG		44	KRZ08			0		646	Europe/Sofia	2011-05-08
725324	Zhŭlti Dyal	Zhulti Dyal	Saru-Yayla,Sarŭ-Yayla,Zhulti Djal,Zhulti Dyal,Zhŭlti Dyal,Жълти Дял	41.5	25.08333	T	RDGE	BG	BG	57				0		790	Europe/Sofia	2011-05-08
725325	Zhŭlti Chal	Zhulti Chal	Kuzul Chal,Kŭzŭl Chal,Shalti Tschal,Shălti Tschal,Zhulti Chal,Zhŭlti Chal,Жълти Чал	41.35	26	P	PPL	BG	BG	43				0		437	Europe/Sofia	2011-05-08
725326	Zhŭlti Bryag	Zhulti Bryag	Sar Yurt,Shalti Breg,Shălti Breg,Zhulti Brjag,Zhulti Bryag,Zhŭlti Bryag,Жълти Бряг	41.8	25.63333	P	PPL	BG	BG	43	HKV30	HKV30-11		0		242	Europe/Sofia	2011-05-08
725327	Zhŭltesh	Zhultesh	Shaltesch,Shăltesch,Zheltesh,Zhultesh,Zhŭltesh,Жълтеш	42.85	25.38333	P	PPL	BG	BG	41	GAB05	GAB05-12		0		604	Europe/Sofia	2011-05-08
725328	Zhŭlt Bryag	Zhult Bryag	Sara Yar,Saru-Yaru,Sarŭ-Yarŭ,Shalt-Breg,Shălt-Breg,Zhult Brjag,Zhult Bryag,Zhult-Bryeg,Zhŭlt Bryag,Zhŭlt-Bryeg,Жълт Бряг	42.73333	26.11667	P	PPL	BG	BG	56	SLV24	SLV24-05		0		409	Europe/Sofia	2011-05-08
725329	Zhrebino	Zhrebino	Bashatlii,Shrebino,Zhrebino,Жребино	42.25	26.7	P	PPL	BG	BG	65	JAM07	JAM07-18		0		212	Europe/Sofia	2011-05-08
725330	Zhrebichko	Zhrebichko	Shrebitschko,Zhrebichko,Жребичко	42.01667	24.43333	P	PPL	BG	BG	48	PAZ06			0		895	Europe/Sofia	2011-05-08
725331	Zhrebevo	Zhrebevo	Aygur Dere,Aygŭr Dere,Shrebewo,Zhrebevo,Жребево	41.61667	24.41667	P	PPL	BG	BG	57	SML09			0		1427	Europe/Sofia	2011-05-08
725332	Yazovir Zhrebchevo	Yazovir Zhrebchevo	Jazovir Zhrebchevo,Yazovir Zhrebchevo,Язовир Жребчево	42.61667	25.86667	H	RSV	BG		59				0		360	Europe/Sofia	2011-05-08
725333	Zhrebchevo	Zhrebchevo	Atlari,Shrebtschewo,Zhrebchevo,Zhryebchevo,Жребчево	42.6	25.91667	L	LCTY	BG	BG	59				0		234	Europe/Sofia	2011-05-08
725334	Zhizhevo	Zhizhevo	Shishewo,Zhizhevo,Жижево	41.55	24.03333	P	PPL	BG	BG	38	BLG42	BLG42-06		0		790	Europe/Sofia	2011-05-08
725335	Zhivovtsi	Zhivovtsi	Shiwowzi,Zhivotci,Zhivovtsi,Животци	43.38333	23.15	P	PPLX	BG	BG	47				0		176	Europe/Sofia	2011-05-08
